REF,NomRecette,TypeApplication,IngredientsHE,IngredientsHV,IngredientsTisane,Explication,Note
1,Abcès cutané,Cutanée,"1 goutte,43;1 goutte,20;2 gouttes,42","1 c. à café,6",,"1 à 2 gouttes sur un coton-tige imbibé, application locale, 3 fois par jour jusqu'à guérison.",
2,Acné,Cutanée,"1 goutte,21;1 goutte,46;2 gouttes,42","1 c. à soupe,3",,"Matin et soir 1 à 2 gouttes avec un coton-tige sur chaque bouton, ou zone de boutons, jusqu'à disparition.",
3,Allergie respiratoire,Diffusion,"5 gouttes,36;5 gouttes,13",,,"Diffusez 10 minutes, 2 à 3 fois par jour.",
4,Allergie respiratoire,Cutanée,"2 gouttes,10;1 goutte,3","1 c. à soupe,3",,"Appliquez quelques gouttes du mélange sur l'intérieur des poignets, le thorax et le long de la colonne vertébrale (et/ou sur la plante des pieds), et masser jusqu'à pénétration complète, 2 à 3 fois par jour.",
5,Allergie respiratoire,Inhalation,"8 gouttes,10;4 gouttes,3",,,"Versez ce mélange dans un stick inhalateur ou sur un mouchoir, et respirer tout au long de la journée (jusqu'à 6 fois).",
6,Allergie cutanée,Cutanée,"1 goutte,3;3 gouttes,22","1 c. à soupe,11",,"Appliquez quelques gouttes sur les zones concernées, jusqu'à pénétration complète, 2 à 3 fois par jour jusqu'à disparition.",
7,Angine/Pharyngo-amygdalite,Diffusion,"5 gouttes,36;5 gouttes,42",,,Diffusez 2 à 3 fois par jour durant 5 à 10 minutes dans les pièces à vivre.,
8,Angine/Pharyngo-amygdalite,Bain aromatique,"10 gouttes,36",,,Mélangez dans un fond de savon liquide et versez dans l'eau du bain.,
9,Angine/Pharyngo-amygdalite,Cutanée,"1 goutte,47;1 goutte,42;1 goutte,36","1 c. à café,3;2 c. à café,11",,"Appliquez doucement sur le cou et en regard des ganglions lymphatiques situés sous la mâchoire, 1 à 4 fois par jour.",
10,Angine/Pharyngo-amygdalite,Voie orale,"2 gouttes,47",,,"Dans une cuillière de miel, 2 fois par jour.",
11,Angine/Pharyngo-amygdalite,Voie orale,"1 goutte,47",,,"Sur un demi sucre, 3 fois par jour, pendant 3 jours.",
12,Arthrite/Arthrose,Bain aromatique,"10 gouttes,14",,,,
13,Arthrite/Arthrose,Cutanée,"1 goutte,20;4 gouttes,14;2 gouttes,11","1 c. à soupe,11",,"Appliquez avec le bout des doigts sur les articulations douloureuses, jusqu'à pénétration complète, 2 à 3 fois par jour. Jusqu'à 6 fois en cas de douleurs intenses.",
14,Bronchite (toux sèche),Diffusion,"5 gouttes,13;5 gouttes,36;2 gouttes,8",,,Diffusez 2 à 3 fois par jour durant 5 à 10 minutes dans les pièces à vivre.,
15,Bronchite (toux grasse),Diffusion,"5 gouttes,13;5 gouttes,36;2 gouttes,48",,,Diffusez 2 à 3 fois par jour durant 5 à 10 minutes dans les pièces à vivre.,
16,Bronchite,Bain aromatique,"10 gouttes,52",,,Mélangez dans un fond de savon liquide et versez dans l'eau du bain.,
17,Bronchite,Bain aromatique,"10 gouttes,36",,,Mélangez dans un fond de savon liquide et versez dans l'eau du bain.,
18,Bronchite,Cutanée,"2 gouttes,13;2 gouttes,36;2 gouttes,37;2 gouttes,42","1 c. à soupe,3",,"Appliquez quelques gouttes à l'intérieur des poignets, sur le thorax, dans le dos en regard des poumons et le long de la colonne vertébrale, jusqu'à pénétration complète, 2 à 3 fois par jour pendant 10 jours.",
19,Bronchite,Voie orale,"2 gouttes,6;4 gouttes,43",,,"Mélangez dans 250 grammes de miel liquide, prenez un cuillierée à café 2 fois par jour.",
20,Brûlure,Cutanée,"4 gouttes,22;1 goutte,46;2 gouttes,19","15ml,6",,"Mélangez dans un flacon de 15ml. Appliquez quelques gouttes sur la zone brûlée et autour, 5 à 6 fois par jour pendant les 2 à 3 premiers jours, puis 2 à 3 fois par jour jusqu'à guérison.","Il s'agit ici de brûlure légère, du quotidien (coup de soleil, frottement, fer à repasser etc.). En cas de brûlure importante, rendez-vous en centre médical."
21,Céphalée/Migraine,Cutanée,"1 goutte,27;1 goutte,14","1 c. à café,12",,"Appliquez 1 à 2 gouttes du mélange sur les zones douloureuses et sur les tempes, le haut du front et la nuque, en veillant à ne pas approcher des yeux. Toutes les heures tant que la douleur persiste, et/ou en accompagnement d'un éventuel traitement médical.",
22,Constipation,Cutanée,"6 gouttes,17;6 gouttes,1","30ml,5",,"Appliquez doucement 5 à 7 gouutes du mélange sur le ventre, autour du nombril, dans le sens des aiguilles d'une montre, 3 fois par jour après les repas.","En première intention, pensez à bien vous hydrater., pendant et entre les repas."
23,"Constipation (enfant après 4ans, personnes âgées)",Cutanée,"1 goutte,3","1 c. à café,1",,"Appliquez doucement sur le ventre, dans le sens des aiguilles d'une montre, 2 à 3 fois par jour après les repas.",
24,Constipation ,Voie orale,"1 goutte,38",,,"A prendre dans une 1/2 cuillerée à café d'huile d'olive vierge de première pression à froid bio, avant chaque repas, jusqu'au retour d'un transit normal.",
25,Constipation,Voie orale,"1 goutte,17",,,"A prendre, en toute fin de repas, dans une compote de fruits (faite maison de préférence), jusqu'à retour d'un transit normal.",Ne pas dépasser une goutte d'huille essentielle de gingembre par prise!
26,Douleurs dentaires,Cutanée,"1 goutte,27;1 goutte,18;2 gouttes,42","1 c. à soupe,6",,Placez 1 à 2 gouttes avec la pulpe du doigt et massez la dent et la gencive douloureuse ou enflammée 2 à 3 fois par jour.,Un soin d'urgence maison ne doit jamais remplacer une consultation dans un cabinet dentaire pour trouver l'origine de la douleur. En revanche cela peut vous faire patienter avant un rendez-vous ou vous aider après une intervention.
27,Douleurs dentaires,Cutanée,"2 gouttes,42;1 goutte,20","1 c. à soupe,6",,Placez 1 à 2 gouttes avec la pulpe du doigt et massez la dent et la gencive douloureuse ou enflammée 2 à 3 fois par jour.,Alternative douce pour les personnes sensible aux goûts.
28,Diarrhée,Cutanée,"4 gouttes,1;1 goutte,43","1 c. à soupe,7",,"Appliquez quelques gouttes du mélange sur le ventre, et masser dans le sens des aiguilles d'une montre jusqu'à pénétration complète, 2 à 3 fois par jour.",
29,Diarrhée,Voie orale,"25 gouttes,41;25 gouttes,1;75 gouttes,6",,,"Prendre 1 à 2 gouttes du mélange après les principaux repas, sur un demi sucre ou dans une cuillerée d'huile d'olive bio, pendant 4 jours maximum.",Ne pas dépasser 6 gouttes du mélange par jour.
30,Diarrhée,Voie orale,"25 gouttes,43;25 gouttes,20;50 gouttes,6",,,"Prendre 2 gouttes du mélange dans une cuillière à café de miel, après les 3 principaux repas, jusqu'à disparition des symptômes.",
31,Digestion,Voie orale,"2 gouttes,6",,,A prendre sur un peu de mie de pain avant le repas.,
32,Digestion,Voie orale,"2 gouttes,38",,,A prendre sur un peu de mie de pain avant le repas.,
33,Digestion,Voie orale,"25 gouttes,1;50 gouttes,3;25 gouttes,27",,,Prendre 1 goutte du mélange dans une cuillière de miel à la fin du repas.,
34,Digestion,Voie orale,"1 goutte,27",,,Prendre une goutte sur un demi sucre.,"En cas de lourdeur digestive ponctuelle (lendemain de fête, gros repas riche...)"
